alternative,Q,Region,PLS,System,method,profile,rank
Accra_PLS100_PV+battery,0.311140920567205,Accra,100,PV+battery,vikor,economic,2374
Accra_PLS100_PV+battery,0.311140920567205,Accra,100,PV+battery,vikor,economic,2375
Accra_PLS100_PV+battery,0.311140920567205,Accra,100,PV+battery,vikor,economic,2376
Accra_PLS100_PV+battery,0.311140920567205,Accra,100,PV+battery,vikor,economic,2377
Accra_PLS100_PV+battery,0.311140920567205,Accra,100,PV+battery,vikor,economic,2378
Accra_PLS100_PV+battery,0.311140920567205,Accra,100,PV+battery,vikor,economic,2379
Accra_PLS100_PV+battery,0.311140920567205,Accra,100,PV+battery,vikor,economic,2380
Lusaka_PLS100_PV+battery+diesel,0.31124462695065225,Lusaka,100,PV+battery+diesel,vikor,economic,2381
Lusaka_PLS100_PV+battery+diesel,0.3113251657105747,Lusaka,100,PV+battery+diesel,vikor,economic,2382
Lusaka_PLS100_PV+battery+diesel,0.3113617209535352,Lusaka,100,PV+battery+diesel,vikor,economic,2383
Lusaka_PLS100_PV+battery+diesel,0.31138357379210374,Lusaka,100,PV+battery+diesel,vikor,economic,2384
Lodwar_PLS100_PV+battery+diesel,0.31138854766580587,Lodwar,100,PV+battery+diesel,vikor,economic,2385
Accra_PLS100_PV+battery+diesel,0.31140492419660215,Accra,100,PV+battery+diesel,vikor,economic,2386
Accra_PLS100_PV+battery+diesel,0.31143953098024846,Accra,100,PV+battery+diesel,vikor,economic,2387
Accra_PLS100_PV+battery+diesel,0.31144135623415065,Accra,100,PV+battery+diesel,vikor,economic,2388
Lusaka_PLS100_PV+battery+diesel,0.3115316894157423,Lusaka,100,PV+battery+diesel,vikor,economic,2389
Accra_PLS100_PV+battery+diesel,0.31170128593243795,Accra,100,PV+battery+diesel,vikor,economic,2390
Lodwar_PLS100_PV+battery+diesel,0.3117747418223724,Lodwar,100,PV+battery+diesel,vikor,economic,2391
Accra_PLS100_PV+battery+diesel,0.31188337354962975,Accra,100,PV+battery+diesel,vikor,economic,2392
Accra_PLS100_PV+battery+diesel,0.311896486896992,Accra,100,PV+battery+diesel,vikor,economic,2393
Lusaka_PLS100_PV+battery+diesel,0.3119499892890626,Lusaka,100,PV+battery+diesel,vikor,economic,2394
Lodwar_PLS100_PV+battery+diesel,0.3120046074799749,Lodwar,100,PV+battery+diesel,vikor,economic,2395
Accra_PLS100_PV+battery+diesel,0.3120619786794923,Accra,100,PV+battery+diesel,vikor,economic,2396
Lusaka_PLS100_PV+battery+diesel,0.3121010079860867,Lusaka,100,PV+battery+diesel,vikor,economic,2397
Lodwar_PLS100_PV+battery+diesel,0.31210731726036756,Lodwar,100,PV+battery+diesel,vikor,economic,2398
Lodwar_PLS100_PV+battery+diesel,0.3121266466722026,Lodwar,100,PV+battery+diesel,vikor,economic,2399
Lusaka_PLS100_PV+battery+diesel,0.31217235283455713,Lusaka,100,PV+battery+diesel,vikor,economic,2400
Lodwar_PLS100_PV+battery+diesel,0.3123804458999771,Lodwar,100,PV+battery+diesel,vikor,economic,2401
Accra_PLS100_PV+battery+diesel,0.31244160204701643,Accra,100,PV+battery+diesel,vikor,economic,2402
Lodwar_PLS100_PV+battery+diesel,0.3125265144395958,Lodwar,100,PV+battery+diesel,vikor,economic,2403
Lusaka_PLS100_PV+battery+diesel,0.3125375817607321,Lusaka,100,PV+battery+diesel,vikor,economic,2404
Accra_PLS100_Diesel only,0.31259610530736504,Accra,100,Diesel only,vikor,economic,2405
Lodwar_PLS100_Diesel only,0.31259610530736504,Lodwar,100,Diesel only,vikor,economic,2406
Accra_PLS100_Diesel only,0.31259610530736504,Accra,100,Diesel only,vikor,economic,2407
Lodwar_PLS100_Diesel only,0.31259610530736504,Lodwar,100,Diesel only,vikor,economic,2408
Accra_PLS100_Diesel only,0.31259610530736504,Accra,100,Diesel only,vikor,economic,2409
Lodwar_PLS100_Diesel only,0.31259610530736504,Lodwar,100,Diesel only,vikor,economic,2410
Accra_PLS100_Diesel only,0.31259610530736504,Accra,100,Diesel only,vikor,economic,2411
Lusaka_PLS100_Diesel only,0.31259610530736504,Lusaka,100,Diesel only,vikor,economic,2412
Lusaka_PLS100_Diesel only,0.31259610530736504,Lusaka,100,Diesel only,vikor,economic,2413
Lusaka_PLS100_Diesel only,0.31259610530736504,Lusaka,100,Diesel only,vikor,economic,2414
